100003	46
100004	110
100005	20
100006	38
100007	25
100009	13
100010	27
100011	1
100012	5
100014	14
100018	2
100019	11
100022	3
100032	9
100033	32
100034	1
100039	3
100045	2
100051	2
100054	1
100062	3
100063	5
100069	1
100073	4
100079	3
100081	4
100082	1
100088	1
100090	5
100103	25
100109	1
100122	4
100128	85
100131	1
100133	3
100134	21
100143	2
100155	2
100161	1
100174	1
100178	2
100194	46
100197	9
100400	10
100406	3
100413	8
100422	1
100588	17
100628	59
100637	4
100638	1
100639	1
100640	1
100641	4
100642	1
100645	24
100653	2
100665	1
100670	1
100672	1
100674	3
100680	204
100691	44
100693	449
100696	1
100700	1
100701	11
100703	3
100704	51
100705	1
100706	22
100712	3
100713	5
100716	7
100717	1
100718	14
100722	1
100724	6
100726	126
100727	2
100728	20
100735	2
100736	14
100741	12
100745	1
100746	1
100750	52
100758	39
100759	6
100761	45
100762	3
100763	1
100764	2
100766	5
100775	4
100776	74
100778	17
100780	1
100787	1
100795	1
100797	2
100804	1
100805	1
100807	1
100808	1
100812	6
100814	2
100816	2
100822	11
100823	7
100824	1
100837	1
100841	1
100842	1
100845	2
100846	2
100847	7
100848	6
100850	28
100851	8
100856	2
100858	1
100862	10
100867	1
100870	3
100871	15
100872	1
100875	10
100876	1
100881	17
100882	56
100884	5
100885	24
100895	3
100898	2
